access	n. 接近；通道，入口；接近的机会 vt. 存取
silence	n. 沉默 v. 使沉默
missile	n. 导弹， 飞弹， 投射物
actual	adj. 实际的
deck	n. 甲板， 舱面； 层面
plough	n. 犁 v. 犁，耕
perhaps	adv. 也许，可能，多半
elect	vt. 选举， 推选； 选择
cent	n. 分；分币
arbitrary	adj. 随心所欲的， 专断的
either	det,pron. （两者）任何一个
Atlantic	adj. 大西洋的 n. 大西洋
fever	n. 发热，发烧；狂热
mostly	adv. 主要的，大部分
player	n. 游戏的人；比赛者
swell	vi. 膨胀，隆起；增长，增强，增多，扩大 n. 波浪起伏； 鼓起， 隆起； 增强
perfect	adj. 完美的；完全的
largely	adv. 大部分， 大量地
extent	n. 广度； 范围； 程度
better	adj. 较好的 adv. 更好地
moreover	adv. 而且， 再者， 此外
exit	n. 出口；退场 v. 退出
journal	n. 日报， 杂志， 日志
belief	n. 信任， 相信； 信念
factory	n. 工厂，制造厂
cherry	n. 樱桃；樱桃树
disk	n. 圆盘，唱片；磁盘
liquor	n. 酒， 烈性酒
pillow	n. 枕头
grip	v. 握紧，抓牢；吸引住 n. 紧握
chief	adj. 主要的，为首的；总的 n. 首领， 长官； 酋长， 族长
dark	adj. 暗的；黑色的
stoop	v. 俯身，弯腰；堕落，自贬 n. 弯腰， 曲背
hang	v. 挂，悬；吊死
pacific	adj. 和平的 n. 太平洋
against	prep. 倚在；逆，对着
blood	n. 血，血液；血统
cannon	n. 大炮，火炮；榴弹炮
evening	n. 傍晚，黄昏，晚上
confine	vt. 限制， 使局限； 使不外出， 禁闭
ceiling	n. 天花板，顶蓬
just	adv. 正好；只是；刚才
mercury	n. 水银，汞
darling	n. 亲爱的人；宠儿
everybody	pron. 每人，人人
England	n. 英格兰；英国
sportsman	n. 运动员
violet	adj. 紫色的 n. 紫罗兰
agree	v. 同意；持相同意见
dirt	n. 灰尘， 土； 污物， 污垢
slender	adj. 细长的， 苗条的； 微薄的， 不足的
drawer	n. 抽屉
thread	n. 线；丝；螺纹；头绪
somehow	adv. 由于某种原因， 不知怎么的； 以某种方式
mate	v. 成为配偶， 交配 n. 伙伴，同事；配偶，配对物；大副
across	prep. 横过；在…对面
attend	v. 出席；照顾，护理
proof	adj. 耐…的， 能防…的 n. 证据，证明；校样，样张
cover	v. 盖；包括 n. 盖子
fasten	v. 扎牢， 扣住
push	v. 推；鼓励；敦促；逼迫
light	adj. 轻的；少量的
guilty	adj. 内疚的； 有罪的
blaze	n. 火；闪光 v. 燃烧
cloudy	adj. 多云的；云一般的
grandson	n. 孙子，外孙子
feeling	n. 感觉，知觉；感情
trap	n. 陷阱，捕捉器；圈套，诡计；困境 vt. 设陷阱捕捉； 诱骗
whistle	v. 吹口哨， 鸣笛声； 呼啸而过 n. 口哨；呼啸而过
nitrogen	n. 氮
listen	v. 听，留神听；听从
murderer	n. 杀人犯，凶手
alike	adv. 一样地， 相似地； 同样程度地 adj. 同样的，相同的
lesson	n. 功课，课；课程
medium	adj. 中等的 n. 媒体；媒介物，传导体
butter	n. 黄油；奶油
fairly	adv. 相当， 尚可， 还； 公平地
horn	n. 角； 号角； 警报器
fruitful	adj. 多产的， 肥沃的
middle	n. 中部 adj. 中部的
leap	v. 跳，跃 n. 跳跃； 骤变
hole	n. 洞；孔眼；裂开处
forbid	vt. 禁止， 不许， 阻止
finally	adv. 最后； 决定性地
electric	adj. 电的， 电动的
relax	v. 放松， 松弛； 放宽， 缓和
glory	n. 光荣， 荣誉的事； 美丽
terror	n. 恐怖， 惊骇； 引起恐怖的人或事
heroine	n. 女英雄；女主角
cricket	n. 板球；蟋蟀
autumn	n. 秋，秋季
broadcast	n. 广播，播音
pronoun	n. 代词
coarse	adj. 粗的， 粗糙的； 粗劣的； 粗俗的
clarify	vt. 澄清， 阐明
occupy	vt. 占领， 占， 占有
maybe	adv. 大概，或许；也许
disgust	n&vt. 厌恶， 憎恶
utilize	vt. 利用
connect	vt. 连接， 结合， 联系； 给…接通电话
salary	n. 薪金， 薪水
click	v. 发出咔嗒声；点击 n. 咔嗒声
weekly	adv. 每周 adj. 每周的
result	vi. 发生； 结果 n. 结果；成果；比分
sexism	n. 性别偏见， 性别歧视
sunset	n. 日落； 晚霞
Christ	n. 基督， 救世主
fantasy	n. 想象， 幻想； 想象的产物
wisdom	n. 智慧， 才智； 名言
umbrella	n. 伞， 雨伞
bump	vi. 碰，撞；颠簸着前进 n. 碰撞， 猛撞； 肿块； 隆起物
considering	prep. 鉴于， 考虑到， 顾及
draught	n. 穿堂风，冷风 adj. 〔啤酒〕桶装的，散装的
surge	vi. 蜂拥而出；洋溢，奔放；汹涌，奔腾 n. 大浪， 波涛； 高涨； 汹涌
tutor	v. 当…导师， 当…家庭教师 n. 导师；家庭教师，私人教师
senator	n. 参议员
thirsty	adj. 渴的； 渴望的
combat	n. 战争，斗争，格斗 vt. 与…斗争， 与…战斗
victim	n. 牺牲者， 受害者
garlic	n. 大蒜
supply	n&vt. 供给， 供应
starve	v. 挨饿， 饿死
clause	n. 条款； 从句， 分句
quiz	n. 智力竞赛，问答比赛；小测验 vt. 考查， 盘问
surplus	adj. 过剩的， 多余的 n. 过剩，剩余，盈余
prayer	n. 祷告， 祈祷； 祷文； 祈求， 祈望
charm	n. 迷人的特性，魅力；符咒，咒文 vt. 吸引， 迷住
given	adj. 规定的，特定的；假设的；已知的；有癖好的，有倾向的 prep. 考虑到
pepper	n. 胡椒，胡椒粉 vt. 在…上撒； 使布满
doctoral	adj. 博士的
video	adj. 录像的；电视的 n. 录像
weapon	n. 武器， 兵器
stare	n&vi. 盯， 凝视
center	n. 圆心， 正中； 中心
studio	n. 画室， 摄影室； 播音室， 录音室， 摄影棚
whoever	pron. 谁； 无论谁； 究竟是谁
deputy	n. 副职， 副手； 代表， 代理人
smash	v. 粉碎，打烂；狠打，猛击；破灭，失败；猛撞，猛冲 n. 破碎 ； 猛击， 猛撞； 轰动的演出， 巨大的成功
wealth	n. 财富， 财产； 丰富
format	n. 设计，安排；格式，样式，版式 vt. 使格式化
salesman	n. 售货员， 推销员
wagon	n. 四轮马车， 大篷车； 铁路货车， 客货两用车
soda	n. 碳酸钠， 纯碱； 汽水， 苏打水
dental	adj. 牙齿的， 牙科的
rally	v. 集合， 团结； 恢复， 重新振作 n. 集会；公路汽车赛
chip	n. 屑片， 碎片； 炸土豆条； 集成电路片， 集成块； 缺口， 瑕疵
bracket	n. 括号 vt. 把…归为同一类
reckon	vt. 认为， 估计； 指望， 盼望； 测算， 测量
title	n. 标题， 题目； 称号， 头衔； 权利， 权益
spelling	n. 拼字， 拼法， 拼写法
priest	n. 神父， 牧师
thick	adv. 厚厚地 adj. 厚的，密的，浓的；不清楚的，口音重的
stadium	n. 运动场， 体育场
baseball	n. 棒球
machinery	n. 机器， 机械
notify	vt. 通知， 告知， 报告
stream	v. 流出， 涌出 n. 河，溪流；一股，一串
heave	vi. 起伏，隆起；呕吐，恶心 vt. 举起，提起，拉起，拖；扔；发出 n. 举起； 起伏， 升降
nourish	vt. 提供养分， 养育
cigarette	n. 香烟， 纸烟， 卷烟
refugee	n. 难民
subject	n. 题目； 学科； 主语 vt. 使隶属
oxygen	n. 氧， 氧气
bearing	n. 举止， 风度； 方位， 方向感； 影响
comedy	n. 喜剧， 喜剧性
trash	n. 垃圾，废物；拙劣的文学作品；没用的人，社会渣滓，败类 vt. 捣毁， 破坏
X-ray	n. X射线， X光
spokesman	n. 发言人
suburb	n. 郊区， 郊外， 近郊
writer	n. 作者， 作家
scream	vi. 尖叫，呼啸 n. 尖叫声
global	adj. 全球的， 全世界的； 总的， 完整的
shrug	n&v. 耸肩
ruin	v. 毁坏 n. 毁灭；废墟
guitar	n. 吉他， 六弦琴
sunshine	n. 日光， 阳光
balcony	n. 阳台； 楼厅， 楼座
cherish	vt. 珍爱； 怀有
prolong	vt. 拉长， 延长
writing	n. 书写， 写； 著作
coupon	n. 礼券， 优惠券， 配给券； 联票； 票证
agenda	n. 议事日程
fourfold	adv. 四倍， 四重 adj. 四倍的，四重的
according	adj. 相等的， 一致的， 依…而定的
newsstand	n. 报摊， 杂志摊
courtyard	n. 庭院， 院子
providing	conj. 倘若
handbag	n. 手提包
shallow	adj. 浅的；浅薄的 n. 浅滩， 浅水处
lease	n. 租约，租契 vt. 出租； 租得， 租有
slap	vt. 掴，掌击，拍；啪的一声放 n. 掴， 掌击， 拍
shell	n. 壳，贝壳；外壳，框架；炮弹 vt. 剥…的壳； 炮击
copyright	n. 版权
slim	adj. 苗条的；薄的；少的 v. 减轻体重， 变苗条
viewpoint	n. 观点， 看法， 见解
script	n. 剧本， 广播稿； 书写用的字母； 笔迹， 手迹
system	n. 系统； 制度， 体制； 方法， 做法； 身体
spot	n. 点，斑点；地点，处所；少量 vt. 认出， 发现； 玷污
slip	v. 滑跤，滑落，溜；下降，跌落；悄悄放进 n. 疏漏， 差错
species	n. 种， 类
rumour	n. 谣传， 谣言
elderly	adj. 较老的，年长的 n. 到了晚年的人， 老年人
radical	adv. 根本的，基本的；激进的，激进派的 n. 激进分子
semester	n. 学期
housing	n. 房屋， 住宅； 住房建筑， 住房供给； 外壳， 外罩
empower	vt. 授权于； 使能够
boring	adj. 令人厌烦的， 乏味的， 无聊的
wealthy	adj. 富有的， 富裕的
superb	adj. 极好的； 高质量的
mold	n. 霉，霉菌；模型，铸模；性格 vt. 用模子制作， 塑造； 使形成， 影响…的形成
boom	vi. 激增， 繁荣， 迅速发展； 发出隆隆声 n. 激增，繁荣，迅速发展；隆隆声，嗡嗡声
summit	n. 最高点， 峰顶； 最高级会议
ally	v. 结盟， 联合 n. 同盟国， 同盟者； 支持者
target	n. 目标 vt. 把…作为目标； 瞄准
truly	adv. 真正地； 忠实地
suicide	n&v. 自杀
saving	n. 节省， 节约； 储蓄金， 存款
waist	n. 腰， 腰部
connexion	n. connection的英式拼法
rage	vi. 狂吹； 汹涌； 激烈进行； 发怒， 发火 n. 狂怒，盛怒；风靡一时的事物，时尚
violin	n. 小提琴
raid	n&vt. 袭击； 突入查抄， 突入搜捕； 劫掠
cashier	n. 出纳
sheer	adv. 垂直地，陡峭地 vi. 急转向， 偏离 adj. 完全的，十足的；陡峭的，垂直的；极薄的，透明的
shrink	v. 起皱； 收缩； 退缩， 畏缩
enquiry	n. 询问
applause	n. 鼓掌， 掌声
sailor	n. 水手， 海员
enquire	v. 询问
diagnose	vt. 诊断
spider	n. 蜘蛛
scare	v. 吓， 使害怕； 受惊吓， 感到害怕 n. 惊恐，恐慌
clash	vi. 发生冲突；不协调；砰地相撞，发出刺耳的撞击声 n. 冲突； 不协调； 刺耳的撞击声
historic	adj. 历史上著名的， 具有重大历史意义的
fulfill	vt. 履行， 实现， 完成； 满足， 使满意
youngster	n. 青年， 年轻人， 孩子
thinking	adj. 深思的， 有理性的 n. 想法，意见，见解
pants	n. 长裤， 便裤； 内裤
consumer	n. 消费者， 用户， 消耗者
social	adj. 社会的； 交际的， 社交的
episode	n. 一个事件； 插曲， 片段； 连续剧的一集
evidently	adv. 明显地， 显然
scandal	n. 丑事， 丑闻； 流言蜚语； 反感， 愤慨
attorney	n. 律师， 代理人
mainframe	n. 主机， 大型机
teenager	n. 青少年
cartoon	n. 卡通画， 幽默画； 动画片， 卡通片
single	adj. 单一的；独身的；单程的 n. 单程票；
acquaint	vt. 使认识， 使了解
sector	n. 部门， 部分； 防御地段， 防区； 扇形
forge	vt. 打制， 锻造； 伪造
slight	adj. 轻微的，微小的 v. 侮慢；轻视，冷落
software	n. 软件
seminar	n. 研究班， 研讨会
timber	n. 木材， 原木； 大木料， 栋木
indoor	adv. 在室内， 在户内 adj. 室内的
sexual	adj. 性的， 两性的； 性别的
sunlight	n. 日光， 阳光
ugly	adj. 丑陋的； 可怕的
tax	n. 税，税款；负担 vt. 对…征税； 使负担重， 使费尽力气
embassy	n. 大使馆； 大使馆全体成员
flee	v. 逃走， 逃掉， 逃离； 避开， 逃避
limp	adj. 软的；不强壮的 v. 〔因一腿受伤而〕跛行，一瘸一拐地走 n. 跛行
category	n. 种类， 类， 类别
snap	v. 咔嚓折断，啪地绷断；吧嗒一声；猛咬；厉声说话，怒声责骂 adj. 仓促的， 突然的 n. 吧嗒声；快照
